scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
20250323161241,18541554,1.0,1.0,,55.67513275146485,12.597468376159668,3.0,1.0,1.0,1.0,3.0,1125,3.0,3.0,1125,1125,3.0,1125.0,,4,10,13,37,43.0,5.0,0.0,37,5.0,30.0,23130.0,4.81,4.88,4.74,4.93,4.91,4.86,4.81,,1.0,1.0,0.0,0.0
20250323161241,34148531,1.0,1.0,,55.68391,12.61438,6.0,1.0,3.0,3.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,30,60,90,90,8.0,0.0,0.0,90,0.0,0.0,0.0,4.38,4.5,4.5,,,4.38,4.0,,1.0,1.0,0.0,0.0
20250323161241,34412632,2.0,2.0,,55.67441,12.53815,5.0,1.0,2.0,3.0,2.0,1125,1.0,2.0,1125,1125,2.0,1125.0,,5,12,27,48,99.0,16.0,0.0,48,16.0,96.0,103680.0,4.94,4.94,4.91,4.89,4.99,4.93,4.84,,1.0,1.0,0.0,0.0
20250323161241,34516211,2.0,2.0,,55.66302,12.62572,4.0,1.0,3.0,2.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,6,6,6,33,57.0,6.0,0.0,33,6.0,36.0,64800.0,4.88,4.96,4.79,4.96,5.0,4.89,4.75,,1.0,1.0,0.0,0.0
20250323161241,12768829,1.0,2.0,,55.67828,12.52854,6.0,,3.0,,5.0,20,5.0,5.0,20,20,5.0,20.0,,0,0,0,0,27.0,3.0,0.0,0,2.0,30.0,,4.89,4.89,4.89,5.0,5.0,5.0,4.85,,1.0,1.0,0.0,0.0
20250323161241,35658533,1.0,1.0,,55.7108,12.57871,4.0,,2.0,,5.0,730,5.0,5.0,730,730,5.0,730.0,,0,0,0,0,19.0,2.0,0.0,0,2.0,20.0,,4.84,4.79,4.84,4.95,5.0,4.84,4.79,,1.0,1.0,0.0,0.0
20250323161241,12481170,1.0,1.0,,55.68254,12.57174,2.0,,1.0,,5.0,1125,5.0,5.0,1125,1125,5.0,1125.0,,0,0,0,0,43.0,1.0,0.0,0,1.0,10.0,,4.91,5.0,4.93,4.9,4.98,4.87,4.82,,1.0,1.0,0.0,0.0
20250323161241,27452349,1.0,1.0,,55.68417,12.56499,4.0,1.5,2.0,3.0,3.0,14,1.0,3.0,14,14,3.0,14.0,,2,2,2,13,69.0,13.0,0.0,13,15.0,78.0,167700.0,5.0,5.0,4.98,4.96,4.98,5.0,4.94,,1.0,1.0,0.0,0.0
20250323161241,31933285,2.0,2.0,,55.66935,12.55662,2.0,,1.0,,2.0,30,2.0,2.0,30,30,2.0,30.0,,0,0,0,0,9.0,0.0,0.0,0,0.0,0.0,,4.89,5.0,5.0,4.89,4.89,4.89,4.78,,1.0,1.0,0.0,0.0
20250323161241,34850403,2.0,2.0,,55.702,12.47852,6.0,1.0,3.0,,6.0,7,6.0,7.0,7,7,6.1,7.0,,29,59,89,89,2.0,0.0,0.0,89,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1.0,1.0,0.0,0.0
20250323161241,35727297,1.0,3.0,,55.68462,12.5522,2.0,1.0,1.0,1.0,2.0,7,2.0,4.0,7,7,2.0,7.0,,12,22,28,35,,,,35,,,138465.0,4.93,4.96,4.94,4.98,4.98,4.91,4.88,,1.0,0.0,1.0,0.0
20250323161241,35768988,1.0,1.0,,55.63176,12.58847,4.0,,3.0,,2.0,7,2.0,2.0,7,7,2.0,7.0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,1.0,1.0,0.0,0.0
20250323161241,3292803,1.0,1.0,,55.66471,12.54526,2.0,,1.0,,4.0,1125,4.0,4.0,1125,1125,4.0,1125.0,,0,0,0,0,37.0,5.0,0.0,0,5.0,40.0,,4.95,4.89,4.95,5.0,5.0,4.94,4.86,,1.0,1.0,0.0,0.0
20250323161241,12145977,1.0,2.0,,55.68399,12.53455,2.0,,1.0,,4.0,365,4.0,4.0,365,365,4.0,365.0,,0,0,0,0,17.0,8.0,0.0,0,7.0,64.0,,4.94,5.0,5.0,5.0,4.94,4.88,4.71,,1.0,1.0,0.0,0.0
20250323161241,31166825,1.0,2.0,,55.68152,12.53344,6.0,,3.0,,5.0,30,5.0,5.0,30,30,5.0,30.0,,0,0,0,0,14.0,0.0,0.0,0,0.0,0.0,,4.86,4.86,4.64,5.0,4.93,5.0,4.93,,1.0,1.0,0.0,0.0
20250323161241,13969971,1.0,1.0,,55.66714,12.58556,1.0,1.0,1.0,1.0,2.0,3,2.0,2.0,3,3,2.0,3.0,,13,25,38,83,,15.0,0.0,83,15.0,90.0,56160.0,4.85,4.94,4.92,4.96,4.96,4.88,4.77,,1.0,0.0,1.0,0.0
20250323161241,633412,1.0,1.0,,55.65617,12.62683,5.0,,3.0,,5.0,14,5.0,5.0,14,14,5.0,14.0,,0,0,0,0,5.0,0.0,0.0,0,0.0,0.0,,4.8,4.8,5.0,5.0,5.0,5.0,5.0,,1.0,1.0,0.0,0.0
20250323161241,33581196,1.0,1.0,,55.6862642,12.5475744,2.0,,1.0,,2.0,5,2.0,2.0,5,5,2.0,5.0,,27,57,87,362,0.0,0.0,0.0,280,0.0,0.0,,,,,,,,,,1.0,1.0,0.0,0.0
20250323161241,34808108,2.0,2.0,,55.67042,12.54772,6.0,1.0,4.0,4.0,3.0,1125,3.0,3.0,1125,1125,3.0,1125.0,,0,0,0,82,5.0,0.0,0.0,0,0.0,0.0,0.0,4.4,5.0,4.5,4.5,4.8,4.6,,,2.0,1.0,1.0,0.0
20250323161241,34808108,2.0,2.0,,55.66866,12.54848,2.0,1.0,1.0,1.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,0,0,0,82,24.0,0.0,0.0,0,0.0,0.0,0.0,4.67,4.92,4.75,4.71,4.79,4.71,4.71,,2.0,1.0,1.0,0.0
20250323161241,7202274,1.0,1.0,,55.69102,12.54466,2.0,,1.0,,14.0,730,14.0,14.0,730,730,14.0,730.0,,0,0,0,0,6.0,1.0,0.0,0,1.0,28.0,,4.5,4.83,5.0,4.83,4.67,5.0,4.17,,1.0,1.0,0.0,0.0
20250323161241,35782503,1.0,1.0,,55.66434,12.55722,4.0,1.0,2.0,2.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,7,15,24,71,96.0,11.0,0.0,71,12.0,66.0,91014.0,4.97,4.95,4.96,4.92,4.97,4.91,4.84,,1.0,1.0,0.0,0.0
20250323161241,26544067,1.0,2.0,,55.70121589831535,12.525998637742356,4.0,,1.0,,3.0,28,3.0,3.0,28,28,3.0,28.0,,0,0,0,0,3.0,0.0,0.0,0,0.0,0.0,,,,,,4.67,4.33,4.33,,1.0,1.0,0.0,0.0
20250323161241,6178098,1.0,1.0,,55.66514,12.54998,5.0,1.0,4.0,5.0,4.0,21,3.0,4.0,21,21,3.0,21.0,,6,6,6,85,38.0,3.0,0.0,6,4.0,24.0,20400.0,4.68,4.76,4.29,4.63,4.89,4.84,4.57,,1.0,1.0,0.0,0.0
20250323161241,35816423,1.0,1.0,,55.6956,12.54655,3.0,,2.0,,5.0,25,5.0,5.0,25,25,5.0,25.0,,0,0,0,0,11.0,2.0,0.0,0,2.0,20.0,,4.82,4.82,4.91,5.0,5.0,4.91,4.82,,1.0,1.0,0.0,0.0
20250323161241,1352033,2.0,3.0,,55.68342,12.54738,4.0,1.5,3.0,3.0,,100,,,100,100,,100.0,,29,59,89,179,2.0,0.0,0.0,179,0.0,0.0,0.0,4.5,5.0,,,5.0,5.0,5.0,,1.0,1.0,0.0,0.0
20250323161241,35874382,2.0,2.0,,55.69464,12.54367,6.0,,4.0,,7.0,30,6.0,6.0,30,30,6.0,30.0,,0,0,0,0,42.0,2.0,0.0,0,2.0,28.0,,4.93,4.88,4.93,4.95,4.98,4.83,4.9,,1.0,1.0,0.0,0.0
20250323161241,35890547,2.0,2.0,,55.66491,12.55606,2.0,,1.0,,4.0,1125,2.0,4.0,1125,1125,4.0,1125.0,,1,1,1,1,24.0,5.0,0.0,1,5.0,40.0,,4.83,4.79,4.79,4.92,4.96,4.96,4.67,,1.0,1.0,0.0,0.0
20250323161241,18396848,1.0,1.0,,55.66815,12.55125,2.0,1.0,2.0,3.0,4.0,365,3.0,7.0,365,365,3.4,365.0,,10,10,10,10,41.0,2.0,0.0,10,2.0,16.0,11520.0,4.88,4.85,4.95,5.0,5.0,4.93,4.83,,1.0,0.0,1.0,0.0
20250323161241,3276408,1.0,1.0,,55.66301,12.60509,6.0,1.0,3.0,3.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,1,1,1,87,87.0,17.0,1.0,5,16.0,102.0,88230.0,5.0,4.97,4.94,4.97,4.97,4.89,4.84,,1.0,1.0,0.0,0.0
20250323161241,36457563,1.0,1.0,,55.6971,12.59738,2.0,,1.0,,3.0,1125,3.0,3.0,1125,1125,3.0,1125.0,,0,0,0,0,30.0,0.0,0.0,0,0.0,0.0,,4.77,4.87,4.28,4.83,4.79,4.86,4.62,,1.0,1.0,0.0,0.0
20250323161241,36502557,1.0,1.0,,55.66766130880245,12.54957803064096,2.0,1.0,1.0,1.0,5.0,365,5.0,5.0,365,365,5.0,365.0,,27,57,87,267,1.0,1.0,0.0,267,1.0,10.0,11410.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1.0,1.0,0.0,0.0
20250323161241,36546027,1.0,1.0,,55.68865,12.55782,2.0,,1.0,,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,0,0,0,0,17.0,0.0,0.0,0,0.0,0.0,,4.94,4.88,4.82,4.88,5.0,5.0,4.88,,1.0,1.0,0.0,0.0
